id,indexNumber,sourceUrl,slug,name,year,manufacturer,brand,cardNumber,cardType,hierarchy,tier,page,row,frontImage,backImage,hasFrontImage,hasBackImage,playerOdds,psaPopReport,ebaySoldListings
11,10011,https://jordan-vault.com/cards/11-1982-92-nike-poster-cards-290883-michael-jordan-mvp-1988,1982-92-nike-poster-cards-290883-michael-jordan-mvp-1988,1982-92 Nike Poster Cards #290883 Michael Jordan - MVP (1988),1988,Misc & Unlicensed,Misc & Unlicensed,#290883,Other,,,,,,,false,false,,,
12,10012,https://jordan-vault.com/cards/12-1982-92-nike-poster-cards-290888-michael-jordan-spike-lee-high-fly-n-360-1989,1982-92-nike-poster-cards-290888-michael-jordan-spike-lee-high-fly-n-360-1989,1982-92 Nike Poster Cards #290888 Michael Jordan / Spike Lee - High fly 'n 360 (1989),1989,Misc & Unlicensed,Misc & Unlicensed,#290888,Other,,,,,,,false,false,,,
13,10013,https://jordan-vault.com/cards/13-1982-92-nike-poster-cards-290891-michael-jordan-playground-1989,1982-92-nike-poster-cards-290891-michael-jordan-playground-1989,1982-92 Nike Poster Cards #290891 Michael Jordan - Playground (1989),1989,Misc & Unlicensed,Misc & Unlicensed,#290891,Other,,,,,,,false,false,,,
14,10014,https://jordan-vault.com/cards/14-1982-92-nike-poster-cards-290909-michael-jordan-reverse-dunk-1990,1982-92-nike-poster-cards-290909-michael-jordan-reverse-dunk-1990,1982-92 Nike Poster Cards #290909 Michael Jordan - Reverse Dunk (1990),1990,Misc & Unlicensed,Misc & Unlicensed,#290909,Other,,,,,,,false,false,,,
15,10015,https://jordan-vault.com/cards/15-1982-92-nike-poster-cards-290922-michael-jordan-jam-n-slam-jordan-1990,1982-92-nike-poster-cards-290922-michael-jordan-jam-n-slam-jordan-1990,1982-92 Nike Poster Cards #290922 Michael Jordan - Jam 'N Slam (Jordan) (1990),1990,Misc & Unlicensed,Misc & Unlicensed,#290922,Other,,,,,,,false,false,,,
16,10016,https://jordan-vault.com/cards/16-1982-92-nike-poster-cards-290946-michael-jordan-super-jordan-1991,1982-92-nike-poster-cards-290946-michael-jordan-super-jordan-1991,1982-92 Nike Poster Cards #290946 Michael Jordan - Super Jordan (1991),1991,Misc & Unlicensed,Misc & Unlicensed,#290946,Other,,,,,,,false,false,,,
17,10017,https://jordan-vault.com/cards/17-1982-92-nike-poster-cards-290948-michael-jordan-little-richard-spike-lee-genie-1991,1982-92-nike-poster-cards-290948-michael-jordan-little-richard-spike-lee-genie-1991,1982-92 Nike Poster Cards #290948 Michael Jordan / Little Richard / Spike Lee - Genie (1991),1991,Misc & Unlicensed,Misc & Unlicensed,#290948,Other,,,,,,,false,false,,,
18,10018,https://jordan-vault.com/cards/18-1982-92-nike-poster-cards-290994-michael-jordan-evolution-1991,1982-92-nike-poster-cards-290994-michael-jordan-evolution-1991,1982-92 Nike Poster Cards #290994 Michael Jordan - Evolution (1991),1991,Misc & Unlicensed,Misc & Unlicensed,#290994,Other,,,,,,,false,false,,,
19,10019,https://jordan-vault.com/cards/19-1982-92-nike-poster-cards-291001-michael-jordan-hare-jordan-1992,1982-92-nike-poster-cards-291001-michael-jordan-hare-jordan-1992,1982-92 Nike Poster Cards #291001 Michael Jordan - Hare Jordan (1992),1992,Misc & Unlicensed,Misc & Unlicensed,#291001,Other,,,,,,,false,false,,,
20,10020,https://jordan-vault.com/cards/20-1982-92-nike-poster-cards-291002-michael-jordan-sky-jordan-1992,1982-92-nike-poster-cards-291002-michael-jordan-sky-jordan-1992,1982-92 Nike Poster Cards #291002 Michael Jordan - Sky Jordan (1992),1992,Misc & Unlicensed,Misc & Unlicensed,#291002,Other,,,,,,,false,false,,,
21,10021,https://jordan-vault.com/cards/21-1982-92-nike-poster-cards-291003-michael-jordan-jordan-cloud-1992,1982-92-nike-poster-cards-291003-michael-jordan-jordan-cloud-1992,1982-92 Nike Poster Cards #291003 Michael Jordan - Jordan Cloud (1992),1992,Misc & Unlicensed,Misc & Unlicensed,#291003,Other,,,,,,,false,false,,,
22,10022,https://jordan-vault.com/cards/22-1982-92-nike-poster-cards-291005-michael-jordan-art-of-the-dunk-1992,1982-92-nike-poster-cards-291005-michael-jordan-art-of-the-dunk-1992,1982-92 Nike Poster Cards #291005 Michael Jordan - Art of the Dunk (1992),1992,Misc & Unlicensed,Misc & Unlicensed,#291005,Other,,,,,,,false,false,,,
23,10023,https://jordan-vault.com/cards/23-1982-92-nike-poster-cards-291010-michael-jordan-that-s-all-folks-w-bugs-bunny-1992,1982-92-nike-poster-cards-291010-michael-jordan-that-s-all-folks-w-bugs-bunny-1992,1982-92 Nike Poster Cards #291010 Michael Jordan - That’s All Folks w/Bugs Bunny (1992),1992,Misc & Unlicensed,Misc & Unlicensed,#291010,Other,,,,,,,false,false,,,
24,10024,https://jordan-vault.com/cards/24-1982-92-nike-poster-cards-292335-michael-jordan-wings-1989,1982-92-nike-poster-cards-292335-michael-jordan-wings-1989,1982-92 Nike Poster Cards #292335 Michael Jordan - Wings (1989),1989,Misc & Unlicensed,Misc & Unlicensed,#292335,Other,,,,,,,false,false,,,
25,10025,https://jordan-vault.com/cards/25-1984-wichita-eagle-beacon-clip-save-nno-michael-jordan-2-6-84,1984-wichita-eagle-beacon-clip-save-nno-michael-jordan-2-6-84,1984 Wichita Eagle-Beacon Clip & Save #NNO Michael Jordan - 2/6/84,1984,Misc & Unlicensed,Misc & Unlicensed,#NNO,Other,,,,,,,false,false,,,
26,10026,https://jordan-vault.com/cards/26-1984-85-star-101-michael-jordan,1984-85-star-101-michael-jordan,1984-85 Star #101 Michael Jordan,1984,Star Co.,Star,#101,Base,Tier 1-Page 01-Row 2,1,1,2,https://www.tcdb.com/Images/Cards/Basketball/2047/2047-633220RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2047/2047-633220RepBk.jpg,true,true,,,eBay Sold
27,10027,https://jordan-vault.com/cards/27-1984-85-star-195-michael-jordan,1984-85-star-195-michael-jordan,1984-85 Star #195 Michael Jordan,1984,Star Co.,Star,#195,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2047/2047-633314RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2047/2047-633314RepBk.jpg,true,true,,,eBay Sold
28,10028,https://jordan-vault.com/cards/28-1984-85-star-288-michael-jordan,1984-85-star-288-michael-jordan,1984-85 Star #288 Michael Jordan,1984,Star Co.,Star,#288,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2047/2047-633407RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2047/2047-633407RepBk.jpg,true,true,,,eBay Sold
29,10029,https://jordan-vault.com/cards/29-1984-85-star-court-kings-26-michael-jordan,1984-85-star-court-kings-26-michael-jordan,1984-85 Star Court Kings #26 Michael Jordan,1984,Star Co.,Star,#26,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2049/2049-2987487RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2049/2049-2987487RepBk.jpg,true,true,,,eBay Sold
30,10030,https://jordan-vault.com/cards/30-1985-boy-scouts-interlake-chicago-bulls-nno-michael-jordan,1985-boy-scouts-interlake-chicago-bulls-nno-michael-jordan,1985 Boy Scouts Interlake Chicago Bulls #NNO Michael Jordan,1985,Misc & Unlicensed,Misc & Unlicensed,#NNO,Other,Tier 3-Page 05-Row 2,3,5,2,https://www.tcdb.com/Images/Cards/Basketball/134875/134875-8959432RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/134875/134875-8959432RepBk.jpg,true,true,,,
31,10031,https://jordan-vault.com/cards/31-1985-nike-sports-cards-nno-michael-jordan,1985-nike-sports-cards-nno-michael-jordan,1985 Nike Sports Cards #NNO Michael Jordan,1985,Misc & Unlicensed,Misc & Unlicensed,#NNO,Other,Tier 3-Page 04-Row 3,3,4,3,https://www.tcdb.com/Images/Large/Multi-Sport/230749/230749-14477851Fr.jpg,,true,false,,,
32,10032,https://jordan-vault.com/cards/32-1985-prism-jewel-nba-stickers-nno-michael-jordan,1985-prism-jewel-nba-stickers-nno-michael-jordan,1985 Prism Jewel NBA Stickers #NNO Michael Jordan,1985,Misc & Unlicensed,Misc & Unlicensed,#NNO,Other,Tier 2-Page 03-Row 1,2,3,1,https://www.tcdb.com/Images/Cards/Basketball/163706/163706-10471909Fr.jpg,https://www.tcdb.com/Images/Cards/Basketball/163706/163706-10471909Bk.jpg,true,true,,,
33,10033,https://jordan-vault.com/cards/33-1985-star-crunch-n-munch-all-stars-4-michael-jordan,1985-star-crunch-n-munch-all-stars-4-michael-jordan,1985 Star Crunch ‘N Munch All-Stars #4 Michael Jordan,1985,Star Co.,Star,#4,Other,,,,,https://www.tcdb.com/Images/Cards/Basketball/2052/2052-4Fr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2052/2052-4Bk.jpg,true,true,,,eBay Sold
34,10034,https://jordan-vault.com/cards/34-1985-star-gatorade-slam-dunk-7-michael-jordan,1985-star-gatorade-slam-dunk-7-michael-jordan,1985 Star Gatorade Slam Dunk #7 Michael Jordan,1985,Star Co.,Star,#7,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2053/2053-2987557RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2053/2053-2987557RepBk.jpg,true,true,,,eBay Sold
35,10035,https://jordan-vault.com/cards/35-1985-star-last-11-r-o-y-1-michael-jordan,1985-star-last-11-r-o-y-1-michael-jordan,1985 Star LAST 11 R.O.Y #1 Michael Jordan,1985,Star Co.,Star,#1,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2055/2055-2987579RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2055/2055-2987579RepBk.jpg,true,true,,,eBay Sold
36,10036,https://jordan-vault.com/cards/36-1985-star-lite-all-stars-4-michael-jordan,1985-star-lite-all-stars-4-michael-jordan,1985 Star LITE All-Stars #4 Michael Jordan,1985,Star Co.,Star,#4,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2056/2056-2987593Fr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2056/2056-2987593Bk.jpg,true,true,,,eBay Sold
37,10037,https://jordan-vault.com/cards/37-1985-star-lite-all-stars-4a-michael-jordan-var-variation-in-cropping-with-hair-touching-border,1985-star-lite-all-stars-4a-michael-jordan-var-variation-in-cropping-with-hair-touching-border,1985 Star LITE All-Stars #4A Michael Jordan - VAR: Variation in cropping with hair touching border,1985,Star Co.,Star,#4A,Other,,,,,https://www.tcdb.com/Images/Cards/Basketball/2056/2056-2987594RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2056/2056-2987594Bk.jpg,true,true,,,eBay Sold
38,10038,https://jordan-vault.com/cards/38-1985-star-slam-dunk-supers-5-michael-jordan,1985-star-slam-dunk-supers-5-michael-jordan,1985 Star Slam Dunk Supers #5 Michael Jordan,1985,Star Co.,Star,#5,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2058/2058-2987633RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2058/2058-2987633RepBk.jpg,true,true,,,eBay Sold
39,10039,https://jordan-vault.com/cards/39-1985-star-super-teams-cb1-michael-jordan,1985-star-super-teams-cb1-michael-jordan,1985 Star Super Teams #CB1 Michael Jordan,1985,Star Co.,Star,#CB1,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2059/2059-2987644RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2059/2059-2987644RepBk.jpg,true,true,,,eBay Sold
40,10040,https://jordan-vault.com/cards/40-1985-86-j-merchante-campeonato-de-liga-baloncesto-blue-back-173-michael-jordan,1985-86-j-merchante-campeonato-de-liga-baloncesto-blue-back-173-michael-jordan,1985-86 J. Merchante Campeonato de Liga Baloncesto - Blue Back #173 Michael Jordan,1985,Misc & Unlicensed,Misc & Unlicensed,#173,Base Parallel,,,,,https://www.tcdb.com/Images/Cards/Basketball/201127/201127-15231105Fr.jpg,,true,false,,,
41,10041,https://jordan-vault.com/cards/41-1985-86-j-merchante-campeonato-de-liga-baloncesto-173-michael-jordan,1985-86-j-merchante-campeonato-de-liga-baloncesto-173-michael-jordan,1985-86 J. Merchante Campeonato de Liga Baloncesto #173 Michael Jordan,1985,Misc & Unlicensed,Misc & Unlicensed,#173,Other,,,,,https://www.tcdb.com/Images/Cards/Basketball/201126/201126-15230922Fr.jpg,,true,false,,,
42,10042,https://jordan-vault.com/cards/42-1985-86-star-117-michael-jordan,1985-86-star-117-michael-jordan,1985-86 Star #117 Michael Jordan,1985,Star Co.,Star,#117,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2060/2060-633524RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2060/2060-633524RepBk.jpg,true,true,,,eBay Sold
43,10043,https://jordan-vault.com/cards/43-1985-86-star-all-rookie-team-2-michael-jordan,1985-86-star-all-rookie-team-2-michael-jordan,1985-86 Star All-Rookie Team #2 Michael Jordan,1985,Star Co.,Star,#2,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2061/2061-2Fr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2061/2061-2Bk.jpg,true,true,,,eBay Sold
44,10044,https://jordan-vault.com/cards/44-1986-sports-illustrated-poster-stickers-test-4465-michael-jordan,1986-sports-illustrated-poster-stickers-test-4465-michael-jordan,1986 Sports Illustrated Poster Stickers Test #4465 Michael Jordan,1986,Misc & Unlicensed,Misc & Unlicensed,#4465,Other,,,,,,,false,false,,,
45,10045,https://jordan-vault.com/cards/45-1986-star-best-of-the-best-9-michael-jordan,1986-star-best-of-the-best-9-michael-jordan,1986 Star Best of the Best #9 Michael Jordan,1986,Star Co.,Star,#9,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2063/2063-2987716RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2063/2063-2987716RepBk.jpg,true,true,,,eBay Sold
46,10046,https://jordan-vault.com/cards/46-1986-star-best-of-the-new-old-nno-michael-jordan,1986-star-best-of-the-new-old-nno-michael-jordan,1986 Star Best of the New/Old #NNO Michael Jordan,1986,Star Co.,Star,#NNO,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2064/2064-2987724RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2064/2064-2987724RepBk.jpg,true,true,,,eBay Sold
47,10047,https://jordan-vault.com/cards/47-1986-star-court-kings-18-michael-jordan,1986-star-court-kings-18-michael-jordan,1986 Star Court Kings #18 Michael Jordan,1986,Star Co.,Star,#18,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2065/2065-2987748RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2065/2065-2987748RepBk.jpg,true,true,,,eBay Sold
48,10048,https://jordan-vault.com/cards/48-1986-star-michael-jordan-1-michael-jordan,1986-star-michael-jordan-1-michael-jordan,1986 Star Michael Jordan #1 Michael Jordan,1986,Star Co.,Star,#1,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987774RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987774RepBk.jpg,true,true,,,eBay Sold
49,10049,https://jordan-vault.com/cards/49-1986-star-michael-jordan-10-michael-jordan-the-future,1986-star-michael-jordan-10-michael-jordan-the-future,1986 Star Michael Jordan #10 Michael Jordan / The Future,1986,Star Co.,Star,#10,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987783RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987783RepBk.jpg,true,true,,,eBay Sold
50,10050,https://jordan-vault.com/cards/50-1986-star-michael-jordan-2-michael-jordan-collegiate-stats,1986-star-michael-jordan-2-michael-jordan-collegiate-stats,1986 Star Michael Jordan #2 Michael Jordan / Collegiate Stats,1986,Star Co.,Star,#2,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987775RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987775RepBk.jpg,true,true,,,eBay Sold
51,10051,https://jordan-vault.com/cards/51-1986-star-michael-jordan-3-michael-jordan-1984-olympian,1986-star-michael-jordan-3-michael-jordan-1984-olympian,1986 Star Michael Jordan #3 Michael Jordan / 1984 Olympian,1986,Star Co.,Star,#3,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987776RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987776RepBk.jpg,true,true,,,eBay Sold
52,10052,https://jordan-vault.com/cards/52-1986-star-michael-jordan-4-michael-jordan-pro-stats,1986-star-michael-jordan-4-michael-jordan-pro-stats,1986 Star Michael Jordan #4 Michael Jordan / Pro Stats,1986,Star Co.,Star,#4,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987777RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987777RepBk.jpg,true,true,,,eBay Sold
53,10053,https://jordan-vault.com/cards/53-1986-star-michael-jordan-5-michael-jordan-1985-all-star,1986-star-michael-jordan-5-michael-jordan-1985-all-star,1986 Star Michael Jordan #5 Michael Jordan / 1985 All-Star,1986,Star Co.,Star,#5,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987778RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987778RepBk.jpg,true,true,,,eBay Sold
54,10054,https://jordan-vault.com/cards/54-1986-star-michael-jordan-6-michael-jordan-1985-rookie-of-year,1986-star-michael-jordan-6-michael-jordan-1985-rookie-of-year,1986 Star Michael Jordan #6 Michael Jordan / 1985 Rookie of Year,1986,Star Co.,Star,#6,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987779RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987779RepBk.jpg,true,true,,,eBay Sold
55,10055,https://jordan-vault.com/cards/55-1986-star-michael-jordan-7-michael-jordan-career-highlights,1986-star-michael-jordan-7-michael-jordan-career-highlights,1986 Star Michael Jordan #7 Michael Jordan / Career Highlights,1986,Star Co.,Star,#7,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987780RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987780RepBk.jpg,true,true,,,eBay Sold
56,10056,https://jordan-vault.com/cards/56-1986-star-michael-jordan-8-michael-jordan-the-1986-playoffs,1986-star-michael-jordan-8-michael-jordan-the-1986-playoffs,1986 Star Michael Jordan #8 Michael Jordan / The 1986 Playoffs,1986,Star Co.,Star,#8,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987781RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987781RepBk.jpg,true,true,,,eBay Sold
57,10057,https://jordan-vault.com/cards/57-1986-star-michael-jordan-9-michael-jordan-personal-data,1986-star-michael-jordan-9-michael-jordan-personal-data,1986 Star Michael Jordan #9 Michael Jordan / Personal Data,1986,Star Co.,Star,#9,Base,,,,,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987782RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2066/2066-2987782RepBk.jpg,true,true,,,eBay Sold
58,10058,https://jordan-vault.com/cards/58-1986-87-fleer-stickers-8-michael-jordan,1986-87-fleer-stickers-8-michael-jordan,1986-87 Fleer - Stickers #8 Michael Jordan,1986,Fleer,Fleer,#8,Insert,Tier 2-Page 02-Row 2,2,2,2,https://www.tcdb.com/Images/Cards/Basketball/2068/2068-8Fr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2068/2068-8Bk.jpg,true,true,1 in 11,https://www.psacard.com/pop/basketball-cards/1986/fleer-sticker/37416,eBay Sold
59,10059,https://jordan-vault.com/cards/59-1986-87-fleer-57-michael-jordan,1986-87-fleer-57-michael-jordan,1986-87 Fleer #57 Michael Jordan,1986,Fleer,Fleer,#57,Base,Tier 1-Page 01-Row 2,1,1,2,https://www.tcdb.com/Images/Cards/Basketball/2067/2067-618527RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/2067/2067-618527RepBk.jpg,true,true,,https://www.psacard.com/pop/basketball-cards/1986/fleer/36766,eBay Sold
60,10060,https://jordan-vault.com/cards/60-1986-87-j-merchante-campeonato-de-liga-baloncesto-163-michael-jordan,1986-87-j-merchante-campeonato-de-liga-baloncesto-163-michael-jordan,1986-87 J. Merchante Campeonato de Liga Baloncesto #163 Michael Jordan,1986,Misc & Unlicensed,Misc & Unlicensed,#163,Other,,,,,https://www.tcdb.com/Images/Cards/Basketball/201125/201125-14674850RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/201125/201125-14674850RepBk.jpg,true,true,,,
61,10061,https://jordan-vault.com/cards/61-1987-nba-pro-basketball-reading-kit-34-michael-jordan,1987-nba-pro-basketball-reading-kit-34-michael-jordan,1987 NBA Pro Basketball Reading Kit #34 Michael Jordan,1987,Misc & Unlicensed,Misc & Unlicensed,#34,Other,,,,,https://www.tcdb.com/Images/Cards/Basketball/129503/129503-8609088Fr.jpg,https://www.tcdb.com/Images/Cards/Basketball/129503/129503-8609088Bk.jpg,true,true,,,
62,10062,https://jordan-vault.com/cards/62-1987-quaker-sports-illustrated-mini-posters-4-michael-jordan,1987-quaker-sports-illustrated-mini-posters-4-michael-jordan,1987 Quaker Sports Illustrated Mini Posters #4 Michael Jordan,1987,Misc & Unlicensed,Misc & Unlicensed,#4,Other,,,,,,https://www.tcdb.com/Images/Cards/Basketball/124953/124953-8419764Bk.jpg,false,true,,,
63,10063,https://jordan-vault.com/cards/63-1987-88-campeonato-de-liga-baloncesto-converse-merchante-spain-113-michael-jordan,1987-88-campeonato-de-liga-baloncesto-converse-merchante-spain-113-michael-jordan,1987-88 Campeonato de Liga Baloncesto Converse Merchante (Spain) #113 Michael Jordan,1987,Misc & Unlicensed,Misc & Unlicensed,#113,Other,,,,,https://www.tcdb.com/Images/Cards/Basketball/170071/170071-12571111Fr.jpg,https://www.tcdb.com/Images/Cards/Basketball/170071/170071-12571111Bk.jpg,true,true,,,
64,10064,https://jordan-vault.com/cards/64-1987-88-campeonato-de-liga-baloncesto-converse-merchante-spain-146-michael-jordan,1987-88-campeonato-de-liga-baloncesto-converse-merchante-spain-146-michael-jordan,1987-88 Campeonato de Liga Baloncesto Converse Merchante (Spain) #146 Michael Jordan,1987,Misc & Unlicensed,Misc & Unlicensed,#146,Other,,,,,https://www.tcdb.com/Images/Cards/Basketball/170071/170071-12571144RepFr.jpg,https://www.tcdb.com/Images/Cards/Basketball/170071/170071-12571144RepBk.jpg,true,true,,,
65,10065,https://jordan-vault.com/cards/65-1987-88-chicago-bulls-nno-mike-brown-dave-corzine-artis-gilmore-horace-grant-michael-jordan-pete-myers-charles-oakley-john-paxson,1987-88-chicago-bulls-nno-mike-brown-dave-corzine-artis-gilmore-horace-grant-michael-jordan-pete-myers-charles-oakley-john-paxson,1987-88 Chicago Bulls #NNO Mike Brown / Dave Corzine / Artis Gilmore / Horace Grant / Michael Jordan / Pete Myers / Charles Oakley / John Paxson,1987,Misc & Unlicensed,Misc & Unlicensed,#NNO,Other,,,,,,https://www.tcdb.com/Images/Cards/Basketball/207990/207990-13307820Bk.jpg,false,true,,,
66,10066,https://jordan-vault.com/cards/66-1987-88-entenmann-s-chicago-bulls-nno-michael-jordan,1987-88-entenmann-s-chicago-bulls-nno-michael-jordan,1987-88 Entenmann's Chicago Bulls #NNO Michael Jordan,1987,Misc & Unlicensed,Misc & Unlicensed,#NNO,Other,,,,,https://www.tcdb.com/Images/Cards/Basketball/122061/122061-8275690Fr.jpg,https://www.tcdb.com/Images/Cards/Basketball/122061/122061-8275690Bk.jpg,true,true,,,
